Date	SPX Index	RACE IM Equity	RACE US Equity	F US Equity	AAPL US Equity	NOKIA FH Equity	EURUSD Curncy
36528	1455.22	#N/A N/A	#N/A N/A	50.315	0.9994	47.45	1.0243
36529	1399.42	#N/A N/A	#N/A N/A	48.6339	0.9152	43.3625	1.0296
36530	1402.11	#N/A N/A	#N/A N/A	48.814	0.9286	39.5025	1.0321
36531	1403.45	#N/A N/A	#N/A N/A	48.874	0.8482	39.5025	1.0328
36532	1441.47	#N/A N/A	#N/A N/A	52.4765	0.8884	41.625	1.0295
36535	1457.6	#N/A N/A	#N/A N/A	51.5159	0.8728	42.6625	1.0256
36536	1438.56	#N/A N/A	#N/A N/A	50.1349	0.8281	42.35	1.0336
36537	1432.25	#N/A N/A	#N/A N/A	51.5759	0.7785	41.5	1.0309
36538	1449.68	#N/A N/A	#N/A N/A	50.9755	0.8638	42.85	1.0258
36539	1465.15	#N/A N/A	#N/A N/A	49.7146	0.8968	44.875	1.0122
36543	1455.14	#N/A N/A	#N/A N/A	52.1163	0.928	44.34	1.0137
36544	1455.9	#N/A N/A	#N/A N/A	51.3357	0.9515	44.25	1.0133
36545	1445.57	#N/A N/A	#N/A N/A	49.8347	1.0134	44.475	1.0168
36546	1441.36	#N/A N/A	#N/A N/A	48.4537	0.9939	44.25	1.0098
36549	1401.53	#N/A N/A	#N/A N/A	49.1142	0.9487	45.625	1.0072
36550	1410.03	#N/A N/A	#N/A N/A	48.1535	1.0022	45.325	1.0009
36551	1404.09	#N/A N/A	#N/A N/A	46.1121	0.9838	45.675	1.0019
36552	1398.56	#N/A N/A	#N/A N/A	47.9734	0.9821	45.8	0.9882
36553	1360.16	#N/A N/A	#N/A N/A	47.0728	0.9074	47.525	0.9747
36556	1394.46	#N/A N/A	#N/A N/A	47.7933	0.9263	46.35	0.9707
36557	1409.28	#N/A N/A	#N/A N/A	47.8533	0.8951	46.15	0.9711
36558	1409.12	#N/A N/A	#N/A N/A	46.7125	0.8823	47.525	0.9765
36559	1424.97	#N/A N/A	#N/A N/A	46.8326	0.9224	47.4	0.9894
36560	1424.37	#N/A N/A	#N/A N/A	46.1722	0.9643	49.4375	0.9832
36563	1424.24	#N/A N/A	#N/A N/A	46.0521	1.0184	49.4	0.9815
36564	1441.72	#N/A N/A	#N/A N/A	46.2322	1.0257	50.2375	0.9855
36565	1411.7	#N/A N/A	#N/A N/A	45.3316	1.0056	51.05	0.9942
36566	1416.83	#N/A N/A	#N/A N/A	45.1514	1.0134	51.025	0.9854
36567	1387.12	#N/A N/A	#N/A N/A	44.3109	0.971	50	0.9875
36570	1389.94	#N/A N/A	#N/A N/A	45.2115	1.034	48.95	0.9783
36571	1402.05	#N/A N/A	#N/A N/A	44.551	1.0625	48.175	0.9815
36572	1387.67	#N/A N/A	#N/A N/A	44.491	1.019	47.6	0.9863
36573	1388.26	#N/A N/A	#N/A N/A	44.0707	1.0257	48.0075	0.9878
36574	1346.09	#N/A N/A	#N/A N/A	41.669	0.9933	49.225	0.9839
36578	1352.17	#N/A N/A	#N/A N/A	42.3295	1.0162	48.975	1.0038
36579	1360.69	#N/A N/A	#N/A N/A	41.3088	1.0379	49.25	1.0036
36580	1353.43	#N/A N/A	#N/A N/A	40.8284	1.0286	50.975	0.992
36581	1333.36	#N/A N/A	#N/A N/A	41.2487	0.9855	52	0.9749
36584	1348.05	#N/A N/A	#N/A N/A	41.0086	1.0112	51.125	0.9709
36585	1366.42	#N/A N/A	#N/A N/A	39.9878	1.0234	51.75	0.9642
36586	1379.19	#N/A N/A	#N/A N/A	39.9616	1.1635	51.3	0.9727
36587	1381.76	#N/A N/A	#N/A N/A	39.7477	1.0893	53.1125	0.9656
36588	1409.17	#N/A N/A	#N/A N/A	41.0086	1.1429	56.375	0.9586
36591	1391.28	#N/A N/A	#N/A N/A	40.2881	1.1222	58.625	0.9586
36592	1355.62	#N/A N/A	#N/A N/A	39.5075	1.0971	57.5	0.9584
36593	1366.7	#N/A N/A	#N/A N/A	40.8885	1.0893	54.85	0.961
36594	1401.69	#N/A N/A	#N/A N/A	39.9878	1.0915	53.9875	0.9669
36595	1395.07	#N/A N/A	#N/A N/A	39.4475	1.1228	56.725	0.9637
36598	1383.62	#N/A N/A	#N/A N/A	40.8885	1.0831	54.1875	0.9642
36599	1359.15	#N/A N/A	#N/A N/A	39.3874	1.0201	56	0.9686
36600	1392.15	#N/A N/A	#N/A N/A	42.3295	1.0379	52.075	0.9669
36601	1458.47	#N/A N/A	#N/A N/A	42.0893	1.0854	49.25	0.9696
36602	1464.47	#N/A N/A	#N/A N/A	42.8699	1.1161	50.525	0.9721
36605	1456.63	#N/A N/A	#N/A N/A	42.0293	1.0982	52.2525	0.9728
36606	1493.87	#N/A N/A	#N/A N/A	44.0106	1.2048	51.4625	0.9615
36607	1500.64	#N/A N/A	#N/A N/A	42.2694	1.2874	54.875	0.961
36608	1527.35	#N/A N/A	#N/A N/A	42.7498	1.2617	55.925	0.9715
36609	1527.46	#N/A N/A	#N/A N/A	42.8699	1.2383	58.1375	0.9779
36612	1523.86	#N/A N/A	#N/A N/A	42.4496	1.2461	58.05	0.9672
36613	1507.73	#N/A N/A	#N/A N/A	42.7498	1.2422	59.225	0.9605
36614	1508.52	#N/A N/A	#N/A N/A	43.05	1.2137	59.805	0.9514
36615	1487.92	#N/A N/A	#N/A N/A	44.7912	1.1228	53.87	0.9613
